model,model_slug,model_group,ms,question_id,category,prompt_bytes,response_bytes,actual_new_zip_tokens,actual_new_zip_tokens_raw,theory_new_zip_tokens,base_new_tokens,valid_output,actual_bytes_per_zip_token,theory_bytes_per_zip_token,compression_efficiency,base_token_saving,gpt2_nll_sum,gpt2_mean_nll,gpt2_bits_per_byte,gpt2_scored_tokens,gpt2_scored_bytes,empty_or_too_short,repeat_4gram_rate,max_4gram_count,degenerate_repetition
/mnt/dlabscratch1/gentilin/zip2zip-outputs/andrea-ctrl-phi3-14B-codebook0-1BData-v0.4-Zip2zipCore/step_8000,andrea-ctrl-phi3-14B-codebook0-1BData-v0.4-Zip2zipCore_step_8000,core,unknown,81,writing,127,2043,512,512,512,512,1,3.990234375,3.990234375,1.0,0.0,,,,0,0,0,0.0,1,0
/mnt/dlabscratch1/gentilin/zip2zip-outputs/andrea-ctrl-phi3-14B-codebook0-1BData-v0.4-Zip2zipCore/step_8000,andrea-ctrl-phi3-14B-codebook0-1BData-v0.4-Zip2zipCore_step_8000,core,unknown,82,writing,250,900,206,206,206,206,1,4.368932038834951,4.368932038834951,1.0,0.0,,,,0,0,0,0.041379310344827586,2,0
/mnt/dlabscratch1/gentilin/zip2zip-outputs/andrea-ctrl-phi3-14B-codebook0-1BData-v0.4-Zip2zipCore/step_8000,andrea-ctrl-phi3-14B-codebook0-1BData-v0.4-Zip2zipCore_step_8000,core,unknown,83,writing,292,999,233,233,233,233,1,4.28755364806867,4.28755364806867,1.0,0.0,,,,0,0,0,0.10493827160493827,10,1
/mnt/dlabscratch1/gentilin/zip2zip-outputs/andrea-ctrl-phi3-14B-codebook0-1BData-v0.4-Zip2zipCore/step_8000,andrea-ctrl-phi3-14B-codebook0-1BData-v0.4-Zip2zipCore_step_8000,core,unknown,84,writing,219,1698,394,394,394,394,1,4.309644670050761,4.309644670050761,1.0,0.0,,,,0,0,0,0.0036363636363636364,2,0
/mnt/dlabscratch1/gentilin/zip2zip-outputs/andrea-ctrl-phi3-14B-codebook0-1BData-v0.4-Zip2zipCore/step_8000,andrea-ctrl-phi3-14B-codebook0-1BData-v0.4-Zip2zipCore_step_8000,core,unknown,85,writing,126,964,253,253,253,253,1,3.8102766798418974,3.8102766798418974,1.0,0.0,,,,0,0,0,0.0,1,0
/mnt/dlabscratch1/gentilin/zip2zip-outputs/andrea-ctrl-phi3-14B-codebook0-1BData-v0.4-Zip2zipCore/step_8000,andrea-ctrl-phi3-14B-codebook0-1BData-v0.4-Zip2zipCore_step_8000,core,unknown,91,roleplay,140,995,222,222,222,222,1,4.481981981981982,4.481981981981982,1.0,0.0,,,,0,0,0,0.0,1,0
/mnt/dlabscratch1/gentilin/zip2zip-outputs/andrea-ctrl-phi3-14B-codebook0-1BData-v0.4-Zip2zipCore/step_8000,andrea-ctrl-phi3-14B-codebook0-1BData-v0.4-Zip2zipCore_step_8000,core,unknown,92,roleplay,225,582,145,145,145,145,1,4.0137931034482754,4.0137931034482754,1.0,0.0,,,,0,0,0,0.0,1,0
/mnt/dlabscratch1/gentilin/zip2zip-outputs/andrea-ctrl-phi3-14B-codebook0-1BData-v0.4-Zip2zipCore/step_8000,andrea-ctrl-phi3-14B-codebook0-1BData-v0.4-Zip2zipCore_step_8000,core,unknown,93,roleplay,450,1093,255,255,255,255,1,4.286274509803921,4.286274509803921,1.0,0.0,,,,0,0,0,0.0,1,0
/mnt/dlabscratch1/gentilin/zip2zip-outputs/andrea-ctrl-phi3-14B-codebook0-1BData-v0.4-Zip2zipCore/step_8000,andrea-ctrl-phi3-14B-codebook0-1BData-v0.4-Zip2zipCore_step_8000,core,unknown,94,roleplay,511,1728,371,371,371,371,1,4.657681940700809,4.657681940700809,1.0,0.0,,,,0,0,0,0.0,1,0
/mnt/dlabscratch1/gentilin/zip2zip-outputs/andrea-ctrl-phi3-14B-codebook0-1BData-v0.4-Zip2zipCore/step_8000,andrea-ctrl-phi3-14B-codebook0-1BData-v0.4-Zip2zipCore_step_8000,core,unknown,95,roleplay,478,246,55,55,55,55,1,4.472727272727273,4.472727272727273,1.0,0.0,,,,0,0,0,0.0,1,0
