model,model_slug,model_group,ms,question_id,category,prompt_bytes,response_bytes,actual_new_zip_tokens,actual_new_zip_tokens_raw,theory_new_zip_tokens,base_new_tokens,valid_output,actual_bytes_per_zip_token,theory_bytes_per_zip_token,compression_efficiency,base_token_saving,gpt2_nll_sum,gpt2_mean_nll,gpt2_bits_per_byte,gpt2_scored_tokens,gpt2_scored_bytes,empty_or_too_short,repeat_4gram_rate,max_4gram_count,degenerate_repetition
/mnt/dlabscratch1/gentilin/zip2zip-outputs/andrea-z2z-phi3-14B-zeroinit-1BData-v0.6.4-Zip2zipCore/step_8000,andrea-z2z-phi3-14B-zeroinit-1BData-v0.6.4-Zip2zipCore_step_8000,core,unknown,81,writing,127,2140,512,512,506,556,1,4.1796875,4.229249011857707,0.9882812500000001,0.07913669064748197,,,,0,0,0,0.0,1,0
/mnt/dlabscratch1/gentilin/zip2zip-outputs/andrea-z2z-phi3-14B-zeroinit-1BData-v0.6.4-Zip2zipCore/step_8000,andrea-z2z-phi3-14B-zeroinit-1BData-v0.6.4-Zip2zipCore_step_8000,core,unknown,82,writing,250,1264,256,256,250,287,1,4.9375,5.056,0.9765625,0.10801393728222997,,,,0,0,0,0.005025125628140704,2,0
/mnt/dlabscratch1/gentilin/zip2zip-outputs/andrea-z2z-phi3-14B-zeroinit-1BData-v0.6.4-Zip2zipCore/step_8000,andrea-z2z-phi3-14B-zeroinit-1BData-v0.6.4-Zip2zipCore_step_8000,core,unknown,83,writing,292,2257,512,512,494,578,1,4.408203125,4.568825910931174,0.9648437499999999,0.11418685121107264,,,,0,0,0,0.008264462809917356,4,0
/mnt/dlabscratch1/gentilin/zip2zip-outputs/andrea-z2z-phi3-14B-zeroinit-1BData-v0.6.4-Zip2zipCore/step_8000,andrea-z2z-phi3-14B-zeroinit-1BData-v0.6.4-Zip2zipCore_step_8000,core,unknown,84,writing,219,1742,381,381,365,418,1,4.572178477690288,4.772602739726027,0.958005249343832,0.08851674641148322,,,,0,0,0,0.0,1,0
/mnt/dlabscratch1/gentilin/zip2zip-outputs/andrea-z2z-phi3-14B-zeroinit-1BData-v0.6.4-Zip2zipCore/step_8000,andrea-z2z-phi3-14B-zeroinit-1BData-v0.6.4-Zip2zipCore_step_8000,core,unknown,85,writing,126,935,225,225,221,228,1,4.155555555555556,4.230769230769231,0.9822222222222223,0.013157894736842146,,,,0,0,0,0.0,1,0
/mnt/dlabscratch1/gentilin/zip2zip-outputs/andrea-z2z-phi3-14B-zeroinit-1BData-v0.6.4-Zip2zipCore/step_8000,andrea-z2z-phi3-14B-zeroinit-1BData-v0.6.4-Zip2zipCore_step_8000,core,unknown,91,roleplay,140,990,218,218,214,236,1,4.541284403669724,4.626168224299065,0.9816513761467889,0.07627118644067798,,,,0,0,0,0.0,1,0
/mnt/dlabscratch1/gentilin/zip2zip-outputs/andrea-z2z-phi3-14B-zeroinit-1BData-v0.6.4-Zip2zipCore/step_8000,andrea-z2z-phi3-14B-zeroinit-1BData-v0.6.4-Zip2zipCore_step_8000,core,unknown,92,roleplay,225,611,147,147,146,156,1,4.156462585034014,4.184931506849315,0.9931972789115646,0.05769230769230771,,,,0,0,0,0.0,1,0
/mnt/dlabscratch1/gentilin/zip2zip-outputs/andrea-z2z-phi3-14B-zeroinit-1BData-v0.6.4-Zip2zipCore/step_8000,andrea-z2z-phi3-14B-zeroinit-1BData-v0.6.4-Zip2zipCore_step_8000,core,unknown,93,roleplay,450,1342,281,281,274,320,1,4.775800711743773,4.897810218978102,0.9750889679715303,0.12187499999999996,,,,0,0,0,0.0,1,0
/mnt/dlabscratch1/gentilin/zip2zip-outputs/andrea-z2z-phi3-14B-zeroinit-1BData-v0.6.4-Zip2zipCore/step_8000,andrea-z2z-phi3-14B-zeroinit-1BData-v0.6.4-Zip2zipCore_step_8000,core,unknown,94,roleplay,511,297,61,61,59,64,1,4.868852459016393,5.033898305084746,0.9672131147540983,0.046875,,,,0,0,0,0.0,1,0
/mnt/dlabscratch1/gentilin/zip2zip-outputs/andrea-z2z-phi3-14B-zeroinit-1BData-v0.6.4-Zip2zipCore/step_8000,andrea-z2z-phi3-14B-zeroinit-1BData-v0.6.4-Zip2zipCore_step_8000,core,unknown,95,roleplay,478,93,23,23,23,23,1,4.043478260869565,4.043478260869565,1.0,0.0,,,,0,0,0,0.0,1,0
