model,model_slug,model_group,ms,question_id,category,prompt_bytes,response_bytes,actual_new_zip_tokens,actual_new_zip_tokens_raw,theory_new_zip_tokens,base_new_tokens,valid_output,actual_bytes_per_zip_token,theory_bytes_per_zip_token,compression_efficiency,base_token_saving,gpt2_nll_sum,gpt2_mean_nll,gpt2_bits_per_byte,gpt2_scored_tokens,gpt2_scored_bytes,empty_or_too_short,repeat_4gram_rate,max_4gram_count,degenerate_repetition
/mnt/dlabscratch1/gentilin/zip2zip-outputs/andrea-z2z-llama32-3B-zeroinit-1BData-v0.6.4-Zip2zipCore/step_8000,andrea-z2z-llama32-3B-zeroinit-1BData-v0.6.4-Zip2zipCore_step_8000,core,unknown,81,writing,127,2642,512,512,495,550,1,5.16015625,5.3373737373737375,0.966796875,0.06909090909090909,,,,0,0,0,0.002242152466367713,2,0
/mnt/dlabscratch1/gentilin/zip2zip-outputs/andrea-z2z-llama32-3B-zeroinit-1BData-v0.6.4-Zip2zipCore/step_8000,andrea-z2z-llama32-3B-zeroinit-1BData-v0.6.4-Zip2zipCore_step_8000,core,unknown,82,writing,250,861,149,149,143,165,1,5.778523489932886,6.020979020979021,0.9597315436241611,0.09696969696969693,,,,0,0,0,0.014705882352941176,2,0
/mnt/dlabscratch1/gentilin/zip2zip-outputs/andrea-z2z-llama32-3B-zeroinit-1BData-v0.6.4-Zip2zipCore/step_8000,andrea-z2z-llama32-3B-zeroinit-1BData-v0.6.4-Zip2zipCore_step_8000,core,unknown,83,writing,292,645,118,118,117,134,1,5.466101694915254,5.512820512820513,0.9915254237288136,0.11940298507462688,,,,0,0,0,0.0,1,0
/mnt/dlabscratch1/gentilin/zip2zip-outputs/andrea-z2z-llama32-3B-zeroinit-1BData-v0.6.4-Zip2zipCore/step_8000,andrea-z2z-llama32-3B-zeroinit-1BData-v0.6.4-Zip2zipCore_step_8000,core,unknown,84,writing,219,1468,270,270,261,291,1,5.437037037037037,5.624521072796935,0.9666666666666666,0.07216494845360821,,,,0,0,0,0.00398406374501992,2,0
/mnt/dlabscratch1/gentilin/zip2zip-outputs/andrea-z2z-llama32-3B-zeroinit-1BData-v0.6.4-Zip2zipCore/step_8000,andrea-z2z-llama32-3B-zeroinit-1BData-v0.6.4-Zip2zipCore_step_8000,core,unknown,85,writing,126,860,175,175,173,179,1,4.914285714285715,4.971098265895954,0.9885714285714287,0.022346368715083775,,,,0,0,0,0.0,1,0
/mnt/dlabscratch1/gentilin/zip2zip-outputs/andrea-z2z-llama32-3B-zeroinit-1BData-v0.6.4-Zip2zipCore/step_8000,andrea-z2z-llama32-3B-zeroinit-1BData-v0.6.4-Zip2zipCore_step_8000,core,unknown,91,roleplay,140,992,194,194,191,201,1,5.11340206185567,5.193717277486911,0.9845360824742267,0.03482587064676612,,,,0,0,0,0.0,1,0
/mnt/dlabscratch1/gentilin/zip2zip-outputs/andrea-z2z-llama32-3B-zeroinit-1BData-v0.6.4-Zip2zipCore/step_8000,andrea-z2z-llama32-3B-zeroinit-1BData-v0.6.4-Zip2zipCore_step_8000,core,unknown,92,roleplay,225,518,111,111,110,117,1,4.666666666666667,4.709090909090909,0.9909909909909911,0.05128205128205132,,,,0,0,0,0.0,1,0
/mnt/dlabscratch1/gentilin/zip2zip-outputs/andrea-z2z-llama32-3B-zeroinit-1BData-v0.6.4-Zip2zipCore/step_8000,andrea-z2z-llama32-3B-zeroinit-1BData-v0.6.4-Zip2zipCore_step_8000,core,unknown,93,roleplay,450,1920,328,328,316,361,1,5.853658536585366,6.075949367088608,0.9634146341463414,0.09141274238227148,,,,0,0,0,0.003289473684210526,2,0
/mnt/dlabscratch1/gentilin/zip2zip-outputs/andrea-z2z-llama32-3B-zeroinit-1BData-v0.6.4-Zip2zipCore/step_8000,andrea-z2z-llama32-3B-zeroinit-1BData-v0.6.4-Zip2zipCore_step_8000,core,unknown,94,roleplay,511,1847,331,331,316,350,1,5.580060422960725,5.844936708860759,0.9546827794561934,0.05428571428571427,,,,0,0,0,0.003484320557491289,2,0
/mnt/dlabscratch1/gentilin/zip2zip-outputs/andrea-z2z-llama32-3B-zeroinit-1BData-v0.6.4-Zip2zipCore/step_8000,andrea-z2z-llama32-3B-zeroinit-1BData-v0.6.4-Zip2zipCore_step_8000,core,unknown,95,roleplay,478,376,87,87,85,88,1,4.32183908045977,4.423529411764706,0.9770114942528735,0.011363636363636354,,,,0,0,0,0.0,1,0
