model,model_slug,model_group,ms,question_id,category,prompt_bytes,response_bytes,actual_new_zip_tokens,actual_new_zip_tokens_raw,theory_new_zip_tokens,base_new_tokens,valid_output,actual_bytes_per_zip_token,theory_bytes_per_zip_token,compression_efficiency,base_token_saving,gpt2_nll_sum,gpt2_mean_nll,gpt2_bits_per_byte,gpt2_scored_tokens,gpt2_scored_bytes,empty_or_too_short,repeat_4gram_rate,max_4gram_count,degenerate_repetition
/mnt/dlabscratch1/xinma/zip2zip-outputs/andrea-z2z-phi35-4B-zeroinit-1BData-v0.6.4-Zip2zipCore/step_8000,andrea-z2z-phi35-4B-zeroinit-1BData-v0.6.4-Zip2zipCore_step_8000,core,unknown,81,writing,127,2138,512,512,495,546,1,4.17578125,4.319191919191919,0.966796875,0.06227106227106227,,,,0,0,0,0.0,1,0
/mnt/dlabscratch1/xinma/zip2zip-outputs/andrea-z2z-phi35-4B-zeroinit-1BData-v0.6.4-Zip2zipCore/step_8000,andrea-z2z-phi35-4B-zeroinit-1BData-v0.6.4-Zip2zipCore_step_8000,core,unknown,82,writing,250,1350,281,281,270,307,1,4.804270462633452,5.0,0.9608540925266904,0.08469055374592838,,,,0,0,0,0.0,1,0
/mnt/dlabscratch1/xinma/zip2zip-outputs/andrea-z2z-phi35-4B-zeroinit-1BData-v0.6.4-Zip2zipCore/step_8000,andrea-z2z-phi35-4B-zeroinit-1BData-v0.6.4-Zip2zipCore_step_8000,core,unknown,83,writing,292,812,167,167,162,204,1,4.862275449101796,5.012345679012346,0.9700598802395208,0.18137254901960786,,,,0,0,0,0.009433962264150943,2,0
/mnt/dlabscratch1/xinma/zip2zip-outputs/andrea-z2z-phi35-4B-zeroinit-1BData-v0.6.4-Zip2zipCore/step_8000,andrea-z2z-phi35-4B-zeroinit-1BData-v0.6.4-Zip2zipCore_step_8000,core,unknown,84,writing,219,2217,448,448,427,497,1,4.948660714285714,5.192037470725995,0.9531250000000001,0.09859154929577463,,,,0,0,0,0.0,1,0
/mnt/dlabscratch1/xinma/zip2zip-outputs/andrea-z2z-phi35-4B-zeroinit-1BData-v0.6.4-Zip2zipCore/step_8000,andrea-z2z-phi35-4B-zeroinit-1BData-v0.6.4-Zip2zipCore_step_8000,core,unknown,85,writing,126,1195,273,273,267,284,1,4.377289377289378,4.47565543071161,0.9780219780219782,0.03873239436619713,,,,0,0,0,0.0,1,0
/mnt/dlabscratch1/xinma/zip2zip-outputs/andrea-z2z-phi35-4B-zeroinit-1BData-v0.6.4-Zip2zipCore/step_8000,andrea-z2z-phi35-4B-zeroinit-1BData-v0.6.4-Zip2zipCore_step_8000,core,unknown,91,roleplay,140,665,139,139,137,145,1,4.784172661870503,4.854014598540146,0.9856115107913669,0.04137931034482756,,,,0,0,0,0.0,1,0
/mnt/dlabscratch1/xinma/zip2zip-outputs/andrea-z2z-phi35-4B-zeroinit-1BData-v0.6.4-Zip2zipCore/step_8000,andrea-z2z-phi35-4B-zeroinit-1BData-v0.6.4-Zip2zipCore_step_8000,core,unknown,92,roleplay,225,1360,290,290,284,320,1,4.689655172413793,4.788732394366197,0.9793103448275862,0.09375,,,,0,0,0,0.004464285714285714,2,0
/mnt/dlabscratch1/xinma/zip2zip-outputs/andrea-z2z-phi35-4B-zeroinit-1BData-v0.6.4-Zip2zipCore/step_8000,andrea-z2z-phi35-4B-zeroinit-1BData-v0.6.4-Zip2zipCore_step_8000,core,unknown,93,roleplay,450,2385,512,512,489,614,1,4.658203125,4.877300613496932,0.955078125,0.16612377850162863,,,,0,0,0,0.005797101449275362,2,0
/mnt/dlabscratch1/xinma/zip2zip-outputs/andrea-z2z-phi35-4B-zeroinit-1BData-v0.6.4-Zip2zipCore/step_8000,andrea-z2z-phi35-4B-zeroinit-1BData-v0.6.4-Zip2zipCore_step_8000,core,unknown,94,roleplay,511,2073,374,374,354,451,1,5.542780748663102,5.8559322033898304,0.946524064171123,0.1707317073170732,,,,0,0,0,0.0,1,0
/mnt/dlabscratch1/xinma/zip2zip-outputs/andrea-z2z-phi35-4B-zeroinit-1BData-v0.6.4-Zip2zipCore/step_8000,andrea-z2z-phi35-4B-zeroinit-1BData-v0.6.4-Zip2zipCore_step_8000,core,unknown,95,roleplay,478,162,41,41,41,41,1,3.951219512195122,3.951219512195122,1.0,0.0,,,,0,0,0,0.0,1,0
/mnt/dlabscratch1/xinma/zip2zip-outputs/andrea-z2z-phi35-4B-zeroinit-1BData-v0.6.4-Zip2zipCore/step_8000,andrea-z2z-phi35-4B-zeroinit-1BData-v0.6.4-Zip2zipCore_step_8000,core,unknown,101,reasoning,178,138,22,22,21,31,1,6.2727272727272725,6.571428571428571,0.9545454545454546,0.29032258064516125,,,,0,0,0,0.0,1,0
/mnt/dlabscratch1/xinma/zip2zip-outputs/andrea-z2z-phi35-4B-zeroinit-1BData-v0.6.4-Zip2zipCore/step_8000,andrea-z2z-phi35-4B-zeroinit-1BData-v0.6.4-Zip2zipCore_step_8000,core,unknown,102,reasoning,163,237,60,60,57,60,1,3.95,4.157894736842105,0.9500000000000001,0.0,,,,0,0,0,0.0,1,0
/mnt/dlabscratch1/xinma/zip2zip-outputs/andrea-z2z-phi35-4B-zeroinit-1BData-v0.6.4-Zip2zipCore/step_8000,andrea-z2z-phi35-4B-zeroinit-1BData-v0.6.4-Zip2zipCore_step_8000,core,unknown,103,reasoning,94,706,140,140,132,153,1,5.042857142857143,5.348484848484849,0.9428571428571428,0.08496732026143794,,,,0,0,0,0.0,1,0
