model,model_slug,model_group,ms,question_id,category,prompt_bytes,response_bytes,actual_new_zip_tokens,actual_new_zip_tokens_raw,theory_new_zip_tokens,base_new_tokens,valid_output,actual_bytes_per_zip_token,theory_bytes_per_zip_token,compression_efficiency,base_token_saving,gpt2_nll_sum,gpt2_mean_nll,gpt2_bits_per_byte,gpt2_scored_tokens,gpt2_scored_bytes,empty_or_too_short,repeat_4gram_rate,max_4gram_count,degenerate_repetition
/mnt/dlabscratch1/gentilin/zip2zip-outputs/andrea-ctrl-llama32-1B-codebook0-1BData-v0.4-Zip2zipCore/step_8000,andrea-ctrl-llama32-1B-codebook0-1BData-v0.4-Zip2zipCore_step_8000,core,unknown,81,writing,127,2359,512,512,512,512,1,4.607421875,4.607421875,1.0,0.0,,,,0,0,0,0.0,1,0
/mnt/dlabscratch1/gentilin/zip2zip-outputs/andrea-ctrl-llama32-1B-codebook0-1BData-v0.4-Zip2zipCore/step_8000,andrea-ctrl-llama32-1B-codebook0-1BData-v0.4-Zip2zipCore_step_8000,core,unknown,82,writing,250,844,167,167,167,167,1,5.053892215568863,5.053892215568863,1.0,0.0,,,,0,0,0,0.0,1,0
/mnt/dlabscratch1/gentilin/zip2zip-outputs/andrea-ctrl-llama32-1B-codebook0-1BData-v0.4-Zip2zipCore/step_8000,andrea-ctrl-llama32-1B-codebook0-1BData-v0.4-Zip2zipCore_step_8000,core,unknown,83,writing,292,783,161,161,161,161,1,4.863354037267081,4.863354037267081,1.0,0.0,,,,0,0,0,0.016666666666666666,2,0
/mnt/dlabscratch1/gentilin/zip2zip-outputs/andrea-ctrl-llama32-1B-codebook0-1BData-v0.4-Zip2zipCore/step_8000,andrea-ctrl-llama32-1B-codebook0-1BData-v0.4-Zip2zipCore_step_8000,core,unknown,84,writing,219,1123,213,213,213,213,1,5.272300469483568,5.272300469483568,1.0,0.0,,,,0,0,0,0.0,1,0
/mnt/dlabscratch1/gentilin/zip2zip-outputs/andrea-ctrl-llama32-1B-codebook0-1BData-v0.4-Zip2zipCore/step_8000,andrea-ctrl-llama32-1B-codebook0-1BData-v0.4-Zip2zipCore_step_8000,core,unknown,85,writing,126,897,205,205,205,205,1,4.375609756097561,4.375609756097561,1.0,0.0,,,,0,0,0,0.0,1,0
/mnt/dlabscratch1/gentilin/zip2zip-outputs/andrea-ctrl-llama32-1B-codebook0-1BData-v0.4-Zip2zipCore/step_8000,andrea-ctrl-llama32-1B-codebook0-1BData-v0.4-Zip2zipCore_step_8000,core,unknown,91,roleplay,140,1201,256,256,256,256,1,4.69140625,4.69140625,1.0,0.0,,,,0,0,0,0.01904761904761905,2,0
/mnt/dlabscratch1/gentilin/zip2zip-outputs/andrea-ctrl-llama32-1B-codebook0-1BData-v0.4-Zip2zipCore/step_8000,andrea-ctrl-llama32-1B-codebook0-1BData-v0.4-Zip2zipCore_step_8000,core,unknown,92,roleplay,225,540,128,128,128,128,1,4.21875,4.21875,1.0,0.0,,,,0,0,0,0.0,1,0
/mnt/dlabscratch1/gentilin/zip2zip-outputs/andrea-ctrl-llama32-1B-codebook0-1BData-v0.4-Zip2zipCore/step_8000,andrea-ctrl-llama32-1B-codebook0-1BData-v0.4-Zip2zipCore_step_8000,core,unknown,93,roleplay,450,2331,449,449,449,449,1,5.1915367483296215,5.1915367483296215,1.0,0.0,,,,0,0,0,0.002824858757062147,2,0
/mnt/dlabscratch1/gentilin/zip2zip-outputs/andrea-ctrl-llama32-1B-codebook0-1BData-v0.4-Zip2zipCore/step_8000,andrea-ctrl-llama32-1B-codebook0-1BData-v0.4-Zip2zipCore_step_8000,core,unknown,94,roleplay,511,649,114,114,114,114,1,5.692982456140351,5.692982456140351,1.0,0.0,,,,0,0,0,0.0,1,0
/mnt/dlabscratch1/gentilin/zip2zip-outputs/andrea-ctrl-llama32-1B-codebook0-1BData-v0.4-Zip2zipCore/step_8000,andrea-ctrl-llama32-1B-codebook0-1BData-v0.4-Zip2zipCore_step_8000,core,unknown,95,roleplay,478,384,85,85,85,85,1,4.517647058823529,4.517647058823529,1.0,0.0,,,,0,0,0,0.017857142857142856,2,0
/mnt/dlabscratch1/gentilin/zip2zip-outputs/andrea-ctrl-llama32-1B-codebook0-1BData-v0.4-Zip2zipCore/step_8000,andrea-ctrl-llama32-1B-codebook0-1BData-v0.4-Zip2zipCore_step_8000,core,unknown,101,reasoning,178,236,52,52,52,52,1,4.538461538461538,4.538461538461538,1.0,0.0,,,,0,0,0,0.0,1,0
/mnt/dlabscratch1/gentilin/zip2zip-outputs/andrea-ctrl-llama32-1B-codebook0-1BData-v0.4-Zip2zipCore/step_8000,andrea-ctrl-llama32-1B-codebook0-1BData-v0.4-Zip2zipCore_step_8000,core,unknown,102,reasoning,163,140,28,28,28,28,1,5.0,5.0,1.0,0.0,,,,0,0,0,0.0,1,0
/mnt/dlabscratch1/gentilin/zip2zip-outputs/andrea-ctrl-llama32-1B-codebook0-1BData-v0.4-Zip2zipCore/step_8000,andrea-ctrl-llama32-1B-codebook0-1BData-v0.4-Zip2zipCore_step_8000,core,unknown,103,reasoning,94,819,167,167,167,167,1,4.904191616766467,4.904191616766467,1.0,0.0,,,,0,0,0,0.007633587786259542,2,0
/mnt/dlabscratch1/gentilin/zip2zip-outputs/andrea-ctrl-llama32-1B-codebook0-1BData-v0.4-Zip2zipCore/step_8000,andrea-ctrl-llama32-1B-codebook0-1BData-v0.4-Zip2zipCore_step_8000,core,unknown,104,reasoning,89,133,36,36,36,36,1,3.6944444444444446,3.6944444444444446,1.0,0.0,,,,0,0,0,0.0,1,0
/mnt/dlabscratch1/gentilin/zip2zip-outputs/andrea-ctrl-llama32-1B-codebook0-1BData-v0.4-Zip2zipCore/step_8000,andrea-ctrl-llama32-1B-codebook0-1BData-v0.4-Zip2zipCore_step_8000,core,unknown,105,reasoning,862,123,27,27,27,27,1,4.555555555555555,4.555555555555555,1.0,0.0,,,,0,0,0,0.0,1,0
/mnt/dlabscratch1/gentilin/zip2zip-outputs/andrea-ctrl-llama32-1B-codebook0-1BData-v0.4-Zip2zipCore/step_8000,andrea-ctrl-llama32-1B-codebook0-1BData-v0.4-Zip2zipCore_step_8000,core,unknown,111,math,103,457,214,214,214,214,1,2.135514018691589,2.135514018691589,1.0,0.0,,,,0,0,0,0.09433962264150944,5,0
/mnt/dlabscratch1/gentilin/zip2zip-outputs/andrea-ctrl-llama32-1B-codebook0-1BData-v0.4-Zip2zipCore/step_8000,andrea-ctrl-llama32-1B-codebook0-1BData-v0.4-Zip2zipCore_step_8000,core,unknown,112,math,241,475,115,115,115,115,1,4.130434782608695,4.130434782608695,1.0,0.0,,,,0,0,0,0.05263157894736842,2,0
/mnt/dlabscratch1/gentilin/zip2zip-outputs/andrea-ctrl-llama32-1B-codebook0-1BData-v0.4-Zip2zipCore/step_8000,andrea-ctrl-llama32-1B-codebook0-1BData-v0.4-Zip2zipCore_step_8000,core,unknown,113,math,296,711,168,168,168,168,1,4.232142857142857,4.232142857142857,1.0,0.0,,,,0,0,0,0.20300751879699247,5,0
/mnt/dlabscratch1/gentilin/zip2zip-outputs/andrea-ctrl-llama32-1B-codebook0-1BData-v0.4-Zip2zipCore/step_8000,andrea-ctrl-llama32-1B-codebook0-1BData-v0.4-Zip2zipCore_step_8000,core,unknown,114,math,95,1423,512,512,512,512,1,2.779296875,2.779296875,1.0,0.0,,,,0,0,0,0.15942028985507245,5,0
/mnt/dlabscratch1/gentilin/zip2zip-outputs/andrea-ctrl-llama32-1B-codebook0-1BData-v0.4-Zip2zipCore/step_8000,andrea-ctrl-llama32-1B-codebook0-1BData-v0.4-Zip2zipCore_step_8000,core,unknown,115,math,294,634,163,163,163,163,1,3.8895705521472395,3.8895705521472395,1.0,0.0,,,,0,0,0,0.1111111111111111,3,0
/mnt/dlabscratch1/gentilin/zip2zip-outputs/andrea-ctrl-llama32-1B-codebook0-1BData-v0.4-Zip2zipCore/step_8000,andrea-ctrl-llama32-1B-codebook0-1BData-v0.4-Zip2zipCore_step_8000,core,unknown,121,coding,133,1966,407,407,407,407,1,4.830466830466831,4.830466830466831,1.0,0.0,,,,0,0,0,0.04365079365079365,4,0
/mnt/dlabscratch1/gentilin/zip2zip-outputs/andrea-ctrl-llama32-1B-codebook0-1BData-v0.4-Zip2zipCore/step_8000,andrea-ctrl-llama32-1B-codebook0-1BData-v0.4-Zip2zipCore_step_8000,core,unknown,122,coding,69,448,133,133,133,133,1,3.3684210526315788,3.3684210526315788,1.0,0.0,,,,0,0,0,0.0,1,0
/mnt/dlabscratch1/gentilin/zip2zip-outputs/andrea-ctrl-llama32-1B-codebook0-1BData-v0.4-Zip2zipCore/step_8000,andrea-ctrl-llama32-1B-codebook0-1BData-v0.4-Zip2zipCore_step_8000,core,unknown,123,coding,109,1891,512,512,512,512,1,3.693359375,3.693359375,1.0,0.0,,,,0,0,0,0.006024096385542169,2,0
/mnt/dlabscratch1/gentilin/zip2zip-outputs/andrea-ctrl-llama32-1B-codebook0-1BData-v0.4-Zip2zipCore/step_8000,andrea-ctrl-llama32-1B-codebook0-1BData-v0.4-Zip2zipCore_step_8000,core,unknown,124,coding,541,1116,274,274,274,274,1,4.072992700729927,4.072992700729927,1.0,0.0,,,,0,0,0,0.01744186046511628,2,0
/mnt/dlabscratch1/gentilin/zip2zip-outputs/andrea-ctrl-llama32-1B-codebook0-1BData-v0.4-Zip2zipCore/step_8000,andrea-ctrl-llama32-1B-codebook0-1BData-v0.4-Zip2zipCore_step_8000,core,unknown,125,coding,93,2023,512,512,512,512,1,3.951171875,3.951171875,1.0,0.0,,,,0,0,0,0.11551155115511551,4,0
/mnt/dlabscratch1/gentilin/zip2zip-outputs/andrea-ctrl-llama32-1B-codebook0-1BData-v0.4-Zip2zipCore/step_8000,andrea-ctrl-llama32-1B-codebook0-1BData-v0.4-Zip2zipCore_step_8000,core,unknown,131,extraction,684,196,45,45,45,45,1,4.355555555555555,4.355555555555555,1.0,0.0,,,,0,0,0,0.0,1,0
/mnt/dlabscratch1/gentilin/zip2zip-outputs/andrea-ctrl-llama32-1B-codebook0-1BData-v0.4-Zip2zipCore/step_8000,andrea-ctrl-llama32-1B-codebook0-1BData-v0.4-Zip2zipCore_step_8000,core,unknown,132,extraction,1028,2199,413,413,413,413,1,5.324455205811138,5.324455205811138,1.0,0.0,,,,0,0,0,0.0,1,0
