model,model_slug,model_group,ms,question_id,category,prompt_bytes,response_bytes,actual_new_zip_tokens,actual_new_zip_tokens_raw,theory_new_zip_tokens,base_new_tokens,valid_output,actual_bytes_per_zip_token,theory_bytes_per_zip_token,compression_efficiency,base_token_saving,gpt2_nll_sum,gpt2_mean_nll,gpt2_bits_per_byte,gpt2_scored_tokens,gpt2_scored_bytes,empty_or_too_short,repeat_4gram_rate,max_4gram_count,degenerate_repetition
/mnt/dlabscratch1/gentilin/zip2zip-outputs/andrea-z2z-phi35-4B-eosfix-1BData-v0.2-Zip2zipCore/step_8000,andrea-z2z-phi35-4B-eosfix-1BData-v0.2-Zip2zipCore_step_8000,core,unknown,81,writing,127,2247,512,512,494,557,1,4.388671875,4.548582995951417,0.96484375,0.08078994614003587,,,,0,0,0,0.0,1,0
/mnt/dlabscratch1/gentilin/zip2zip-outputs/andrea-z2z-phi35-4B-eosfix-1BData-v0.2-Zip2zipCore/step_8000,andrea-z2z-phi35-4B-eosfix-1BData-v0.2-Zip2zipCore_step_8000,core,unknown,82,writing,250,1228,244,244,233,277,1,5.032786885245901,5.2703862660944205,0.9549180327868851,0.11913357400722024,,,,0,0,0,0.0,1,0
/mnt/dlabscratch1/gentilin/zip2zip-outputs/andrea-z2z-phi35-4B-eosfix-1BData-v0.2-Zip2zipCore/step_8000,andrea-z2z-phi35-4B-eosfix-1BData-v0.2-Zip2zipCore_step_8000,core,unknown,83,writing,292,1119,218,218,212,257,1,5.13302752293578,5.278301886792453,0.9724770642201835,0.15175097276264593,,,,0,0,0,0.0,1,0
/mnt/dlabscratch1/gentilin/zip2zip-outputs/andrea-z2z-phi35-4B-eosfix-1BData-v0.2-Zip2zipCore/step_8000,andrea-z2z-phi35-4B-eosfix-1BData-v0.2-Zip2zipCore_step_8000,core,unknown,84,writing,219,1502,317,317,307,338,1,4.738170347003154,4.892508143322476,0.9684542586750787,0.062130177514792884,,,,0,0,0,0.0,1,0
/mnt/dlabscratch1/gentilin/zip2zip-outputs/andrea-z2z-phi35-4B-eosfix-1BData-v0.2-Zip2zipCore/step_8000,andrea-z2z-phi35-4B-eosfix-1BData-v0.2-Zip2zipCore_step_8000,core,unknown,85,writing,126,818,203,203,198,209,1,4.029556650246305,4.1313131313131315,0.9753694581280787,0.028708133971291905,,,,0,0,0,0.0,1,0
/mnt/dlabscratch1/gentilin/zip2zip-outputs/andrea-z2z-phi35-4B-eosfix-1BData-v0.2-Zip2zipCore/step_8000,andrea-z2z-phi35-4B-eosfix-1BData-v0.2-Zip2zipCore_step_8000,core,unknown,91,roleplay,140,410,105,105,104,109,1,3.9047619047619047,3.9423076923076925,0.9904761904761904,0.03669724770642202,,,,0,0,0,0.0,1,0
/mnt/dlabscratch1/gentilin/zip2zip-outputs/andrea-z2z-phi35-4B-eosfix-1BData-v0.2-Zip2zipCore/step_8000,andrea-z2z-phi35-4B-eosfix-1BData-v0.2-Zip2zipCore_step_8000,core,unknown,92,roleplay,225,318,75,75,73,76,1,4.24,4.3561643835616435,0.9733333333333335,0.013157894736842146,,,,0,0,0,0.0,1,0
/mnt/dlabscratch1/gentilin/zip2zip-outputs/andrea-z2z-phi35-4B-eosfix-1BData-v0.2-Zip2zipCore/step_8000,andrea-z2z-phi35-4B-eosfix-1BData-v0.2-Zip2zipCore_step_8000,core,unknown,93,roleplay,450,1985,423,423,411,499,1,4.692671394799055,4.829683698296837,0.9716312056737588,0.15230460921843691,,,,0,0,0,0.013071895424836602,2,0
/mnt/dlabscratch1/gentilin/zip2zip-outputs/andrea-z2z-phi35-4B-eosfix-1BData-v0.2-Zip2zipCore/step_8000,andrea-z2z-phi35-4B-eosfix-1BData-v0.2-Zip2zipCore_step_8000,core,unknown,94,roleplay,511,1018,201,201,194,214,1,5.064676616915423,5.247422680412371,0.9651741293532339,0.06074766355140182,,,,0,0,0,0.00625,2,0
/mnt/dlabscratch1/gentilin/zip2zip-outputs/andrea-z2z-phi35-4B-eosfix-1BData-v0.2-Zip2zipCore/step_8000,andrea-z2z-phi35-4B-eosfix-1BData-v0.2-Zip2zipCore_step_8000,core,unknown,95,roleplay,478,162,41,41,39,42,1,3.951219512195122,4.153846153846154,0.9512195121951219,0.023809523809523836,,,,0,0,0,0.0,1,0
/mnt/dlabscratch1/gentilin/zip2zip-outputs/andrea-z2z-phi35-4B-eosfix-1BData-v0.2-Zip2zipCore/step_8000,andrea-z2z-phi35-4B-eosfix-1BData-v0.2-Zip2zipCore_step_8000,core,unknown,101,reasoning,178,144,22,22,21,32,1,6.545454545454546,6.857142857142857,0.9545454545454547,0.3125,,,,0,0,0,0.0,1,0
/mnt/dlabscratch1/gentilin/zip2zip-outputs/andrea-z2z-phi35-4B-eosfix-1BData-v0.2-Zip2zipCore/step_8000,andrea-z2z-phi35-4B-eosfix-1BData-v0.2-Zip2zipCore_step_8000,core,unknown,102,reasoning,163,140,29,29,29,32,1,4.827586206896552,4.827586206896552,1.0,0.09375,,,,0,0,0,0.0,1,0
