model,model_slug,model_group,ms,question_id,category,prompt_bytes,response_bytes,actual_new_zip_tokens,actual_new_zip_tokens_raw,theory_new_zip_tokens,base_new_tokens,valid_output,actual_bytes_per_zip_token,theory_bytes_per_zip_token,compression_efficiency,base_token_saving,gpt2_nll_sum,gpt2_mean_nll,gpt2_bits_per_byte,gpt2_scored_tokens,gpt2_scored_bytes,empty_or_too_short,repeat_4gram_rate,max_4gram_count,degenerate_repetition
/mnt/dlabscratch1/gentilin/zip2zip-outputs/andrea-z2z-llama32-1B-zeroinit-1BData-v0.6.4-Zip2zipCore/step_8000,andrea-z2z-llama32-1B-zeroinit-1BData-v0.6.4-Zip2zipCore_step_8000,core,unknown,81,writing,127,2684,512,512,500,559,1,5.2421875,5.368,0.9765624999999999,0.08407871198568873,,,,0,0,0,0.002336448598130841,2,0
/mnt/dlabscratch1/gentilin/zip2zip-outputs/andrea-z2z-llama32-1B-zeroinit-1BData-v0.6.4-Zip2zipCore/step_8000,andrea-z2z-llama32-1B-zeroinit-1BData-v0.6.4-Zip2zipCore_step_8000,core,unknown,82,writing,250,931,166,166,165,177,1,5.608433734939759,5.642424242424243,0.9939759036144578,0.062146892655367214,,,,0,0,0,0.006896551724137931,2,0
/mnt/dlabscratch1/gentilin/zip2zip-outputs/andrea-z2z-llama32-1B-zeroinit-1BData-v0.6.4-Zip2zipCore/step_8000,andrea-z2z-llama32-1B-zeroinit-1BData-v0.6.4-Zip2zipCore_step_8000,core,unknown,83,writing,292,2634,512,512,499,562,1,5.14453125,5.278557114228457,0.974609375,0.08896797153024916,,,,0,0,0,0.030162412993039442,5,0
/mnt/dlabscratch1/gentilin/zip2zip-outputs/andrea-z2z-llama32-1B-zeroinit-1BData-v0.6.4-Zip2zipCore/step_8000,andrea-z2z-llama32-1B-zeroinit-1BData-v0.6.4-Zip2zipCore_step_8000,core,unknown,84,writing,219,2105,409,409,396,435,1,5.146699266503667,5.315656565656566,0.9682151589242053,0.05977011494252871,,,,0,0,0,0.0,1,0
/mnt/dlabscratch1/gentilin/zip2zip-outputs/andrea-z2z-llama32-1B-zeroinit-1BData-v0.6.4-Zip2zipCore/step_8000,andrea-z2z-llama32-1B-zeroinit-1BData-v0.6.4-Zip2zipCore_step_8000,core,unknown,85,writing,126,949,192,192,187,197,1,4.942708333333333,5.074866310160428,0.9739583333333333,0.025380710659898442,,,,0,0,0,0.0,1,0
/mnt/dlabscratch1/gentilin/zip2zip-outputs/andrea-z2z-llama32-1B-zeroinit-1BData-v0.6.4-Zip2zipCore/step_8000,andrea-z2z-llama32-1B-zeroinit-1BData-v0.6.4-Zip2zipCore_step_8000,core,unknown,91,roleplay,140,1407,273,273,268,292,1,5.153846153846154,5.25,0.9816849816849818,0.06506849315068497,,,,0,0,0,0.00425531914893617,2,0
/mnt/dlabscratch1/gentilin/zip2zip-outputs/andrea-z2z-llama32-1B-zeroinit-1BData-v0.6.4-Zip2zipCore/step_8000,andrea-z2z-llama32-1B-zeroinit-1BData-v0.6.4-Zip2zipCore_step_8000,core,unknown,92,roleplay,225,1313,264,264,262,269,1,4.973484848484849,5.011450381679389,0.9924242424242424,0.018587360594795488,,,,0,0,0,0.0,1,0
/mnt/dlabscratch1/gentilin/zip2zip-outputs/andrea-z2z-llama32-1B-zeroinit-1BData-v0.6.4-Zip2zipCore/step_8000,andrea-z2z-llama32-1B-zeroinit-1BData-v0.6.4-Zip2zipCore_step_8000,core,unknown,93,roleplay,450,952,172,172,170,187,1,5.534883720930233,5.6,0.9883720930232559,0.0802139037433155,,,,0,0,0,0.006535947712418301,2,0
/mnt/dlabscratch1/gentilin/zip2zip-outputs/andrea-z2z-llama32-1B-zeroinit-1BData-v0.6.4-Zip2zipCore/step_8000,andrea-z2z-llama32-1B-zeroinit-1BData-v0.6.4-Zip2zipCore_step_8000,core,unknown,94,roleplay,511,1518,245,245,237,270,1,6.1959183673469385,6.405063291139241,0.9673469387755101,0.09259259259259256,,,,0,0,0,0.0,1,0
/mnt/dlabscratch1/gentilin/zip2zip-outputs/andrea-z2z-llama32-1B-zeroinit-1BData-v0.6.4-Zip2zipCore/step_8000,andrea-z2z-llama32-1B-zeroinit-1BData-v0.6.4-Zip2zipCore_step_8000,core,unknown,95,roleplay,478,1513,371,371,371,374,1,4.078167115902965,4.078167115902965,1.0,0.008021390374331583,,,,0,0,0,0.0,1,0
/mnt/dlabscratch1/gentilin/zip2zip-outputs/andrea-z2z-llama32-1B-zeroinit-1BData-v0.6.4-Zip2zipCore/step_8000,andrea-z2z-llama32-1B-zeroinit-1BData-v0.6.4-Zip2zipCore_step_8000,core,unknown,101,reasoning,178,31,7,7,7,7,1,4.428571428571429,4.428571428571429,1.0,0.0,,,,0,0,0,0.0,1,0
/mnt/dlabscratch1/gentilin/zip2zip-outputs/andrea-z2z-llama32-1B-zeroinit-1BData-v0.6.4-Zip2zipCore/step_8000,andrea-z2z-llama32-1B-zeroinit-1BData-v0.6.4-Zip2zipCore_step_8000,core,unknown,102,reasoning,163,95,15,15,15,16,1,6.333333333333333,6.333333333333333,1.0,0.0625,,,,0,0,0,0.0,1,0
/mnt/dlabscratch1/gentilin/zip2zip-outputs/andrea-z2z-llama32-1B-zeroinit-1BData-v0.6.4-Zip2zipCore/step_8000,andrea-z2z-llama32-1B-zeroinit-1BData-v0.6.4-Zip2zipCore_step_8000,core,unknown,103,reasoning,94,1138,212,212,204,226,1,5.367924528301887,5.578431372549019,0.9622641509433963,0.06194690265486724,,,,0,0,0,0.01092896174863388,2,0
/mnt/dlabscratch1/gentilin/zip2zip-outputs/andrea-z2z-llama32-1B-zeroinit-1BData-v0.6.4-Zip2zipCore/step_8000,andrea-z2z-llama32-1B-zeroinit-1BData-v0.6.4-Zip2zipCore_step_8000,core,unknown,104,reasoning,89,276,58,58,55,63,1,4.758620689655173,5.0181818181818185,0.9482758620689655,0.07936507936507942,,,,0,0,0,0.0,1,0
/mnt/dlabscratch1/gentilin/zip2zip-outputs/andrea-z2z-llama32-1B-zeroinit-1BData-v0.6.4-Zip2zipCore/step_8000,andrea-z2z-llama32-1B-zeroinit-1BData-v0.6.4-Zip2zipCore_step_8000,core,unknown,105,reasoning,862,36,7,7,6,9,1,5.142857142857143,6.0,0.8571428571428572,0.2222222222222222,,,,0,0,0,0.0,1,0
/mnt/dlabscratch1/gentilin/zip2zip-outputs/andrea-z2z-llama32-1B-zeroinit-1BData-v0.6.4-Zip2zipCore/step_8000,andrea-z2z-llama32-1B-zeroinit-1BData-v0.6.4-Zip2zipCore_step_8000,core,unknown,111,math,103,623,206,206,202,257,1,3.0242718446601944,3.0841584158415842,0.9805825242718447,0.19844357976653693,,,,0,0,0,0.0390625,5,0
/mnt/dlabscratch1/gentilin/zip2zip-outputs/andrea-z2z-llama32-1B-zeroinit-1BData-v0.6.4-Zip2zipCore/step_8000,andrea-z2z-llama32-1B-zeroinit-1BData-v0.6.4-Zip2zipCore_step_8000,core,unknown,112,math,241,338,77,77,74,90,1,4.3896103896103895,4.5675675675675675,0.961038961038961,0.1444444444444445,,,,0,0,0,0.0,1,0
/mnt/dlabscratch1/gentilin/zip2zip-outputs/andrea-z2z-llama32-1B-zeroinit-1BData-v0.6.4-Zip2zipCore/step_8000,andrea-z2z-llama32-1B-zeroinit-1BData-v0.6.4-Zip2zipCore_step_8000,core,unknown,113,math,296,633,106,106,103,138,1,5.971698113207547,6.145631067961165,0.9716981132075472,0.23188405797101452,,,,0,0,0,0.1553398058252427,4,0
/mnt/dlabscratch1/gentilin/zip2zip-outputs/andrea-z2z-llama32-1B-zeroinit-1BData-v0.6.4-Zip2zipCore/step_8000,andrea-z2z-llama32-1B-zeroinit-1BData-v0.6.4-Zip2zipCore_step_8000,core,unknown,114,math,95,833,241,241,236,285,1,3.4564315352697097,3.5296610169491527,0.979253112033195,0.15438596491228074,,,,0,0,0,0.05,2,0
/mnt/dlabscratch1/gentilin/zip2zip-outputs/andrea-z2z-llama32-1B-zeroinit-1BData-v0.6.4-Zip2zipCore/step_8000,andrea-z2z-llama32-1B-zeroinit-1BData-v0.6.4-Zip2zipCore_step_8000,core,unknown,115,math,294,788,166,166,155,220,1,4.746987951807229,5.083870967741936,0.9337349397590362,0.24545454545454548,,,,0,0,0,0.06172839506172839,3,0
/mnt/dlabscratch1/gentilin/zip2zip-outputs/andrea-z2z-llama32-1B-zeroinit-1BData-v0.6.4-Zip2zipCore/step_8000,andrea-z2z-llama32-1B-zeroinit-1BData-v0.6.4-Zip2zipCore_step_8000,core,unknown,121,coding,133,1304,280,280,273,310,1,4.6571428571428575,4.7765567765567765,0.9750000000000001,0.09677419354838712,,,,0,0,0,0.03468208092485549,3,0
/mnt/dlabscratch1/gentilin/zip2zip-outputs/andrea-z2z-llama32-1B-zeroinit-1BData-v0.6.4-Zip2zipCore/step_8000,andrea-z2z-llama32-1B-zeroinit-1BData-v0.6.4-Zip2zipCore_step_8000,core,unknown,122,coding,69,593,136,136,131,143,1,4.360294117647059,4.526717557251908,0.9632352941176471,0.04895104895104896,,,,0,0,0,0.0,1,0
/mnt/dlabscratch1/gentilin/zip2zip-outputs/andrea-z2z-llama32-1B-zeroinit-1BData-v0.6.4-Zip2zipCore/step_8000,andrea-z2z-llama32-1B-zeroinit-1BData-v0.6.4-Zip2zipCore_step_8000,core,unknown,123,coding,109,2162,512,512,497,628,1,4.22265625,4.350100603621731,0.9707031249999999,0.1847133757961783,,,,0,0,0,0.017316017316017316,2,0
/mnt/dlabscratch1/gentilin/zip2zip-outputs/andrea-z2z-llama32-1B-zeroinit-1BData-v0.6.4-Zip2zipCore/step_8000,andrea-z2z-llama32-1B-zeroinit-1BData-v0.6.4-Zip2zipCore_step_8000,core,unknown,124,coding,541,852,197,197,183,271,1,4.324873096446701,4.655737704918033,0.9289340101522843,0.27306273062730624,,,,0,0,0,0.04081632653061224,3,0
/mnt/dlabscratch1/gentilin/zip2zip-outputs/andrea-z2z-llama32-1B-zeroinit-1BData-v0.6.4-Zip2zipCore/step_8000,andrea-z2z-llama32-1B-zeroinit-1BData-v0.6.4-Zip2zipCore_step_8000,core,unknown,125,coding,93,1519,512,512,508,533,1,2.966796875,2.9901574803149606,0.9921875,0.039399624765478425,,,,0,0,0,0.0,1,0
/mnt/dlabscratch1/gentilin/zip2zip-outputs/andrea-z2z-llama32-1B-zeroinit-1BData-v0.6.4-Zip2zipCore/step_8000,andrea-z2z-llama32-1B-zeroinit-1BData-v0.6.4-Zip2zipCore_step_8000,core,unknown,131,extraction,684,204,50,50,49,52,1,4.08,4.163265306122449,0.98,0.038461538461538436,,,,0,0,0,0.0,1,0
/mnt/dlabscratch1/gentilin/zip2zip-outputs/andrea-z2z-llama32-1B-zeroinit-1BData-v0.6.4-Zip2zipCore/step_8000,andrea-z2z-llama32-1B-zeroinit-1BData-v0.6.4-Zip2zipCore_step_8000,core,unknown,132,extraction,1028,1095,187,187,182,218,1,5.855614973262032,6.016483516483516,0.9732620320855615,0.14220183486238536,,,,0,0,0,0.0,1,0
/mnt/dlabscratch1/gentilin/zip2zip-outputs/andrea-z2z-llama32-1B-zeroinit-1BData-v0.6.4-Zip2zipCore/step_8000,andrea-z2z-llama32-1B-zeroinit-1BData-v0.6.4-Zip2zipCore_step_8000,core,unknown,133,extraction,1556,481,75,75,68,112,1,6.413333333333333,7.073529411764706,0.9066666666666666,0.3303571428571429,,,,0,0,0,0.0,1,0
/mnt/dlabscratch1/gentilin/zip2zip-outputs/andrea-z2z-llama32-1B-zeroinit-1BData-v0.6.4-Zip2zipCore/step_8000,andrea-z2z-llama32-1B-zeroinit-1BData-v0.6.4-Zip2zipCore_step_8000,core,unknown,134,extraction,742,320,56,56,51,72,1,5.714285714285714,6.2745098039215685,0.9107142857142857,0.2222222222222222,,,,0,0,0,0.0,1,0
/mnt/dlabscratch1/gentilin/zip2zip-outputs/andrea-z2z-llama32-1B-zeroinit-1BData-v0.6.4-Zip2zipCore/step_8000,andrea-z2z-llama32-1B-zeroinit-1BData-v0.6.4-Zip2zipCore_step_8000,core,unknown,135,extraction,758,282,65,65,61,89,1,4.338461538461538,4.622950819672131,0.9384615384615383,0.2696629213483146,,,,0,0,0,0.0,1,0
/mnt/dlabscratch1/gentilin/zip2zip-outputs/andrea-z2z-llama32-1B-zeroinit-1BData-v0.6.4-Zip2zipCore/step_8000,andrea-z2z-llama32-1B-zeroinit-1BData-v0.6.4-Zip2zipCore_step_8000,core,unknown,141,stem,121,2433,414,414,393,456,1,5.8768115942028984,6.190839694656488,0.9492753623188406,0.09210526315789469,,,,0,0,0,0.0057306590257879654,2,0
/mnt/dlabscratch1/gentilin/zip2zip-outputs/andrea-z2z-llama32-1B-zeroinit-1BData-v0.6.4-Zip2zipCore/step_8000,andrea-z2z-llama32-1B-zeroinit-1BData-v0.6.4-Zip2zipCore_step_8000,core,unknown,142,stem,237,1533,245,245,236,285,1,6.257142857142857,6.495762711864407,0.963265306122449,0.14035087719298245,,,,0,0,0,0.016,2,0
/mnt/dlabscratch1/gentilin/zip2zip-outputs/andrea-z2z-llama32-1B-zeroinit-1BData-v0.6.4-Zip2zipCore/step_8000,andrea-z2z-llama32-1B-zeroinit-1BData-v0.6.4-Zip2zipCore_step_8000,core,unknown,143,stem,216,2838,512,512,485,620,1,5.54296875,5.851546391752577,0.9472656250000001,0.17419354838709677,,,,0,0,0,0.07476635514018691,3,0
/mnt/dlabscratch1/gentilin/zip2zip-outputs/andrea-z2z-llama32-1B-zeroinit-1BData-v0.6.4-Zip2zipCore/step_8000,andrea-z2z-llama32-1B-zeroinit-1BData-v0.6.4-Zip2zipCore_step_8000,core,unknown,144,stem,92,1020,182,182,175,198,1,5.604395604395604,5.828571428571428,0.9615384615384616,0.08080808080808077,,,,0,0,0,0.0,1,0
/mnt/dlabscratch1/gentilin/zip2zip-outputs/andrea-z2z-llama32-1B-zeroinit-1BData-v0.6.4-Zip2zipCore/step_8000,andrea-z2z-llama32-1B-zeroinit-1BData-v0.6.4-Zip2zipCore_step_8000,core,unknown,145,stem,317,1143,221,221,211,266,1,5.171945701357466,5.4170616113744074,0.9547511312217195,0.16917293233082709,,,,0,0,0,0.005291005291005291,2,0
